domain,registrar_status,premium,registration_usd_per_year,renewal_usd_per_year,registrar_timestamp
aatos.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:15:24
aava.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:15:30
accorto.ai,AVAILABLE,0,82.7,82.7,2026-09-05 22:14:25
adarme.ai,AVAILABLE,0,82.7,82.7,2026-09-05 22:14:37
adentro.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:14:31
adumbral.ai,AVAILABLE,0,82.7,82.7,2026-09-05 22:16:09
aflora.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:14:37
agnoia.ai,AVAILABLE,0,82.7,82.7,2026-09-05 22:14:19
ahndung.ai,AVAILABLE,0,82.7,82.7,2026-09-05 22:15:37
ahnen.ai,AVAILABLE,0,82.7,82.7,2026-09-05 22:15:30
ahnung.ai,AVAILABLE,0,82.7,82.7,2026-09-05 22:15:37
aisti.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:15:24
aistia.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:15:24
ajatus.ai,AVAILABLE,0,82.7,82.7,2026-09-05 22:15:24
akari.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:15:24
alar.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:15:56
alento.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:14:37
alethe.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:14:19
alethea.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:14:19
alidade.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:16:09
alula.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:15:56
alveus.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:15:56
anfract.ai,AVAILABLE,0,82.7,82.7,2026-09-05 22:16:15
anima.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:15:43
animo.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:15:43
animus.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:15:43
aning.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:15:37
apercu.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:14:25
aperio.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:15:43
areola.ai,AVAILABLE,0,82.7,82.7,2026-09-05 22:15:56
areole.ai,AVAILABLE,0,82.7,82.7,2026-09-05 22:15:56
armilla.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:16:09
asola.ai,AVAILABLE,0,82.7,82.7,2026-09-05 22:14:25
asomar.ai,AVAILABLE,0,82.7,82.7,2026-09-05 22:14:31
asomo.ai,AVAILABLE,0,82.7,82.7,2026-09-05 22:14:31
assioma.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:14:19
atinar.ai,AVAILABLE,0,82.7,82.7,2026-09-05 22:14:31
atino.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:14:31
atisba.ai,AVAILABLE,0,82.7,82.7,2026-09-05 22:14:31
atisbo.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:14:11
aureole.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:16:09
auroral.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:16:09
avistar.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:14:31
axon.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:15:50
azimuth.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:16:09
bifold.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:16:02
bosquejo.ai,AVAILABLE,0,82.7,82.7,2026-09-05 22:14:31
bract.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:16:17
bracteal.ai,AVAILABLE,0,82.7,82.7,2026-09-05 22:16:17
brote.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:14:31
brujula.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:14:37
calice.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:16:17
calyce.ai,AVAILABLE,0,82.7,82.7,2026-09-05 22:16:17
calyx.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:16:17
candent.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:16:02
candor.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:16:02
catkin.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:16:17
catopta.ai,AVAILABLE,0,82.7,82.7,2026-09-05 22:16:09
cauce.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:14:31
cauces.ai,AVAILABLE,0,82.7,82.7,2026-09-05 22:14:31
caustic.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:16:09
caustics.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:16:09
celaje.ai,AVAILABLE,0,82.7,82.7,2026-09-05 22:14:31
cernere.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:15:43
cernis.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:15:43
cerno.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:15:43
chiarore.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:14:25
clarear.ai,AVAILABLE,0,82.7,82.7,2026-09-05 22:14:37
clartes.ai,AVAILABLE,0,82.7,82.7,2026-09-05 22:14:31
cogito.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:15:43
corolla.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:16:17
corollae.ai,AVAILABLE,0,82.7,82.7,2026-09-05 22:16:17
corymb.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:16:17
cyme.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:16:17
cymose.ai,AVAILABLE,0,82.7,82.7,2026-09-05 22:16:17
dedans.ai,AVAILABLE,0,82.7,82.7,2026-09-05 22:14:25
deepview.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:16:02
dendron.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:15:50
denken.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:15:30
denker.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:15:30
dentro.ai,UNAVAILABLE,0,82.7,82.7,2026-09-05 22:14:19
