"domain","result","type","ts","premium","price","renewal"
"dawdle.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"dawdler.ai","AVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"dally.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"dilly.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"pootle.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"tootle.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"tootler.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"noodle.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"noodler.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"noodling.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"natter.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"prattle.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"patter.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"patten.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"jotter.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"jotting.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"jottings.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"mutter.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"mutterer.ai","AVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"mumbled.ai","AVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"mumbly.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"mumbler.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"gibber.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"babble.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"babbler.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"burble.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"burbly.ai","AVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"warbling.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"fleeting.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"flitting.ai","AVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"flitter.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"flutter.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"flurry.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"flurried.ai","AVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"froth.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"frothy.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"frolic.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"frisky.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"frizzle.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"frizzy.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"frippery.ai","AVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"trinket.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"bauble.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"bijou.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"doodad.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"doodler.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"doodling.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"riffle.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"riffling.ai","AVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"riffler.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"tinkerer.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"tinkling.ai","AVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"tinkle.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"dinkum.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"dinky.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"diddly.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"fiddly.ai","AVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"fidget.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"fidgety.ai","AVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"scooch.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"squish.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"squishy.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"squidge.ai","AVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"squeezy.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"squeak.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"squeaky.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"squeal.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"snuggle.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"snugly.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"snugger.ai","AVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"snoozy.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"snoozer.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"dozy.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"dozing.ai","AVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"dozer.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"drowsing.ai","AVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"napping.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"napper.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"nappy.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"snooze.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"sleepy.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"sleepily.ai","AVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"slumbery.ai","AVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"dreamer.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"dreamful.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"dreamily.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"dreamy.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"dreamt.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"dreamlike.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
"fanciful.ai","UNAVAILABLE","registration","2026-09-05 15:28:02","0","8270","8270"
