rank,name,domain,url,theme,meaning,backronym,status,annual_usd,initial_years,initial_checkout_usd,renewal_usd,com_status,checked_at
1,monody,monody.ai,https://monody.ai,sound,A composition having a single melodic line.,"Manifold Observation for Neural Output Direction, Yield-aware",available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
2,dimity,dimity.ai,https://dimity.ai,craft,A light strong fabric with woven stripes or squares.,Directional Interpretation and Manifold Injection for Trait Yield,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
3,brayer,brayer.ai,https://brayer.ai,language,"A hand printing tool, in the US often a roller, used to spread a thin even layer of ink. Earl...",Behavior Readout and Analysis for Yield-aware Embedding Representation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
4,pavane,pavane.ai,https://pavane.ai,sound,"A moderately slow, courtly processional dance in duple time/meter.",Probe Analysis of Vector Activations in Neural Embeddings,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
5,rundel,rundel.ai,https://rundel.ai,water,A small stream; a runlet.,"Representation Understanding and Neural Direction Editing, Layerwise",available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
6,cleome,cleome.ai,https://cleome.ai,flora,Any flowering plant in the genus Cleome.,"Concept-Layer Exploration, Observation, Monitoring, and Editing",available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
7,hyssop,hyssop.ai,https://hyssop.ai,flora,"Any of several aromatic bushy herbs, of the genus Hyssopus, native to Southern Europe and onc...","Hidden-state Yield, Subspace Steering, Observation, and Probing",available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
8,joyance,joyance.ai,https://joyance.ai,feeling,"Enjoyment, joy, delight.","Jacobian Observation for Yield-aware Activation, Neural Control, and Editing",available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
9,fernery,fernery.ai,https://fernery.ai,land,A specialized garden for the cultivation and display of ferns.,"Feature Exploration and Readout for Neural Embedding Representation, Yield-aware",available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
10,borage,borage.ai,https://borage.ai,flora,"Borago officinalis, a Mediterranean plant with rough, cucumber-flavored leaves and stems, use...",Behavior Observation and Representation Analysis for Guided Editing,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
11,spathe,spathe.ai,https://spathe.ai,flora,"A large bract that envelops or subtends a whole inflorescence, typically a spadix.",Subspace Probing and Trait Hidden-state Editing,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
12,doline,doline.ai,https://doline.ai,land,"A depression (basin, hollow) in karstic terrain/limestone.",Directional Observation of Latent Inference in Neural Embeddings,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
13,argali,argali.ai,https://argali.ai,land,"Ovis ammon, the largest wild sheep, which roams the highlands of Central Asia.",Activation Representation Geometry for Adaptive Language Intervention,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
14,visile,visile.ai,https://visile.ai,mind,Someone whose mental imagery consists of pictures.,Vector Interpretation of Subspaces in Layerwise Embeddings,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
15,muskeg,muskeg.ai,https://muskeg.ai,flora,A terrain composed of peat bog with tussocky meadow and woody vegetation including spruce.,"Manifold Understanding, Steering, Kernel Exploration, and Geometry",available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
16,digram,digram.ai,https://digram.ai,language,A digraph (combination of two letters),Directional Interpretability and Geometry for Representation-Aware Models,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
17,smilax,smilax.ai,https://smilax.ai,flora,Any member of the Smilax genus of greenbriers.,Subspace Monitoring and Injection for Layerwise Activation eXploration,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
18,dittany,dittany.ai,https://dittany.ai,flora,"A labiate plant of species Origanum dictamnus, formerly renowned for its medicinal properties...",Directional Interpretability for Trait Tuning and Neural Yield,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
19,odonate,odonate.ai,https://odonate.ai,fauna,Any carnivorous insect of the order Odonata; a dragonfly or damselfly.,"Observation-Driven Output Navigation for Activation, Trait, and Embedding",available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
20,albite,albite.ai,https://albite.ai,earth,"A plagioclase feldspar, the first member of the Albite-Anorthite solid solution series.","Activation-Layer Basis for Interpretability, Traits, and Editing",available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
21,illite,illite.ai,https://illite.ai,earth,A micaceous phyllosilicate clay mineral with aggregates of grey or white monoclinic crystals.,Interpretability Layer Layer Interpretability Trait Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
22,augite,augite.ai,https://augite.ai,earth,"A variety of pyroxene, usually of a black or dark green color, occurring in igneous rocks, su...",Activation Unified Geometry Interpretability Trait Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
