"rank","name","domain","pronunciation","rationale","registrar_status","premium","registration_annual_usd","renewal_annual_usd","minimum_term_years","two_year_arithmetic_estimate_usd","price_note","registrar_checked_at_utc","registry_http_status","registry_checked_at_utc","pypi_http_status","npm_http_status","registrar_url","dictionary_url","collision_note","collision_sources"
"1","puckish","puckish.ai","PUCK-ish","Mischievous and playful; a strong match for experimenting with model personalities.","AVAILABLE","0","82.70","82.70","2","165.40","About USD 165 upfront before tax. Annualized prices; actual checkout rounding/fees can differ.","2026-09-05 15:45:52","404","2026-09-05T15:42:21.412907+00:00","404","404","https://porkbun.com/checkout/search?q=puckish.ai","https://www.merriam-webster.com/dictionary/puckish","No exact standalone software brand surfaced in the limited web search; not a comprehensive clearance.",""
"2","underlit","underlit.ai","UN-der-lit","Light beneath the surface; an evocative metaphor for inspecting model internals.","AVAILABLE","0","82.70","82.70","2","165.40","About USD 165 upfront before tax. Annualized prices; actual checkout rounding/fees can differ.","2026-09-05 15:45:52","404","2026-09-05T15:42:21.580275+00:00","404","404","https://porkbun.com/checkout/search?q=underlit.ai","https://www.collinsdictionary.com/us/dictionary/english/underlit","Exact title of a small 2024 game-jam game. This is an existing software use.","https://mathix94.itch.io/underlit"
"3","unmuffle","unmuffle.ai","un-MUFF-ul","Free hidden signals from what obscures them; the clearest interpretability metaphor.","AVAILABLE","0","82.70","82.70","2","165.40","About USD 165 upfront before tax. Annualized prices; actual checkout rounding/fees can differ.","2026-09-05 15:45:52","404","2026-09-05T15:42:21.402976+00:00","404","404","https://porkbun.com/checkout/search?q=unmuffle.ai","https://www.merriam-webster.com/dictionary/unmuffle","No exact standalone software brand surfaced in the limited web search; not a comprehensive clearance.",""
"4","retint","retint.ai","ree-TINT","Change the shade of something; a compact metaphor for steering model behavior.","AVAILABLE","0","82.70","82.70","2","165.40","About USD 165 upfront before tax. Annualized prices; actual checkout rounding/fees can differ.","2026-09-05 15:45:52","404","2026-09-05T15:42:21.776075+00:00","404","404","https://porkbun.com/checkout/search?q=retint.ai","https://www.collinsdictionary.com/us/english-language-learning/retint","No exact standalone software brand surfaced in the limited web search; not a comprehensive clearance.",""
"5","uncoiled","uncoiled.ai","un-KOYLD","Complex structure opened out so it can be explored.","AVAILABLE","0","82.70","82.70","2","165.40","About USD 165 upfront before tax. Annualized prices; actual checkout rounding/fees can differ.","2026-09-05 15:45:52","404","2026-09-05T15:42:22.130940+00:00","404","404","https://porkbun.com/checkout/search?q=uncoiled.ai","https://www.merriam-webster.com/dictionary/uncoil","Also used as a music release title and in mathematical terminology; no exact software brand surfaced in the limited search.","https://arxiv.org/abs/2302.12782"
"6","intoned","intoned.ai","in-TOHND","Voice, tone, and expression; a natural association with language.","AVAILABLE","0","82.70","82.70","2","165.40","About USD 165 upfront before tax. Annualized prices; actual checkout rounding/fees can differ.","2026-09-05 15:45:52","404","2026-09-05T15:42:21.951294+00:00","404","404","https://porkbun.com/checkout/search?q=intoned.ai","https://dictionary.cambridge.org/us/dictionary/english/intoned","No exact standalone software brand surfaced in the limited web search; not a comprehensive clearance.",""
"7","unlaced","unlaced.ai","un-LAYST","Opened and loosened; tactile, memorable, and easy to spell.","AVAILABLE","0","82.70","82.70","2","165.40","About USD 165 upfront before tax. Annualized prices; actual checkout rounding/fees can differ.","2026-09-05 15:45:52","404","2026-09-05T15:42:21.979209+00:00","404","404","https://porkbun.com/checkout/search?q=unlaced.ai","https://www.merriam-webster.com/dictionary/unlace","No exact standalone software brand surfaced in the limited web search; not a comprehensive clearance.",""
"8","fancied","fancied.ai","FAN-seed","Imagined possibilities; creative and slightly whimsical.","AVAILABLE","0","82.70","82.70","2","165.40","About USD 165 upfront before tax. Annualized prices; actual checkout rounding/fees can differ.","2026-09-05 15:45:52","404","2026-09-05T15:42:22.502473+00:00","404","404","https://porkbun.com/checkout/search?q=fancied.ai","https://www.merriam-webster.com/dictionary/fancied","No exact standalone software brand surfaced in the limited web search; not a comprehensive clearance.",""
"9","honeyed","honeyed.ai","HUN-eed","A warm, pleasant voice; particularly apt for tone and persona steering.","AVAILABLE","0","82.70","82.70","2","165.40","About USD 165 upfront before tax. Annualized prices; actual checkout rounding/fees can differ.","2026-09-05 15:45:52","404","2026-09-05T15:42:21.800927+00:00","404","404","https://porkbun.com/checkout/search?q=honeyed.ai","https://dictionary.cambridge.org/us/dictionary/english/honeyed","Existing creative studio name and adjective in the app title Honeyed Legends Myths. Its literal meaning can also imply insincere sweetness.","https://thehoneyedcollective.com/honeyed-studios/ https://apps.apple.com/hk/app/honeyed-legends-myths/id6761210848"
"10","brambly","brambly.ai","BRAM-blee","Tangled, branching growth; a visual identity for exploring branching conversations.","AVAILABLE","0","82.70","82.70","2","165.40","About USD 165 upfront before tax. Annualized prices; actual checkout rounding/fees can differ.","2026-09-05 15:45:52","404","2026-09-05T15:42:24.186052+00:00","404","404","https://porkbun.com/checkout/search?q=brambly.ai","https://www.merriam-webster.com/dictionary/brambly","Strong association with Brambly Hedge, a children's book series. No exact standalone software brand surfaced in the limited search.",""
