rank,name,domain,pronunciation,rationale,status,premium,registration_annual_usd,renewal_annual_usd,minimum_term_years,two_year_estimate_usd,price_note,registrar_checked_at_utc,registry_http_status,registry_checked_at_utc,registrar_url,pypi_http_status,npm_http_status,collision_note,sources
1,Unknit,unknit.ai,un-NIT,Undo intertwined strands; a clear metaphor for disentangling model representations.,AVAILABLE,0,82.70,82.70,2,165.40,"Two-year estimate is twice the displayed annual rate, not a completed checkout quote; taxes or transaction calculation can differ.",2026-09-05 15:19:17 UTC,404,2026-09-05T15:19:55.221927+00:00,https://porkbun.com/checkout/search?q=unknit.ai,404,404,No obvious exact-name AI product found; PyPI and npm lookups returned 404.,https://www.merriam-webster.com/dictionary/unknit
2,Billowy,billowy.ai,BIL-oh-ee,"Flowing, changing shapes; soft and memorable for exploring model behavior.",AVAILABLE,0,82.70,82.70,2,165.40,"Two-year estimate is twice the displayed annual rate, not a completed checkout quote; taxes or transaction calculation can differ.",2026-09-05 15:19:17 UTC,404,2026-09-05T15:19:55.230158+00:00,https://porkbun.com/checkout/search?q=billowy.ai,404,404,A footwear retailer and other unrelated businesses use the word; no obvious exact-name AI product found.,https://billowyshop.com/policies/legal-notice
3,Borage,borage.ai,BOR-ij,"A blue, star-flowered herb; a distinctive botanical identity with room to grow.",AVAILABLE,0,82.70,82.70,2,165.40,"Two-year estimate is twice the displayed annual rate, not a completed checkout quote; taxes or transaction calculation can differ.",2026-09-05 15:19:17 UTC,404,2026-09-05T15:19:55.520455+00:00,https://porkbun.com/checkout/search?q=borage.ai,404,404,No obvious exact-name AI/software product found; PyPI and npm lookups returned 404.,
4,Drowse,drowse.ai,DROWZ (rhymes with cows),"A liminal mental state; the strongest short, atmospheric option.",AVAILABLE,0,82.70,82.70,2,165.40,"Two-year estimate is twice the displayed annual rate, not a completed checkout quote; taxes or transaction calculation can differ.",2026-09-05 15:19:17 UTC,404,2026-09-05T15:19:55.426276+00:00,https://porkbun.com/checkout/search?q=drowse.ai,200,404,"Existing Drowse sleep-sound apps and a PyPI REST client. Excellent sound, but not an unused software name.",https://apps.apple.com/us/app/drowse-sleep-sounds-mixer/id6760371927 | https://play.google.com/store/apps/details?id=be.studio3020.drowse | https://pypi.org/project/drowse/
5,Unpleat,unpleat.ai,un-PLEET,Unfold hidden structure; a compact metaphor for opening up model geometry.,AVAILABLE,0,82.70,82.70,2,165.40,"Two-year estimate is twice the displayed annual rate, not a completed checkout quote; taxes or transaction calculation can differ.",2026-09-05 15:19:17 UTC,404,2026-09-05T15:19:55.631992+00:00,https://porkbun.com/checkout/search?q=unpleat.ai,404,404,No obvious exact-name AI/software product found; a real but less common verb.,https://en.wiktionary.org/wiki/unpleat
6,Toneme,toneme.ai,TOH-neem,A meaningful tone unit in language; connects language with subtle behavioral differences.,AVAILABLE,0,82.70,82.70,2,165.40,"Two-year estimate is twice the displayed annual rate, not a completed checkout quote; taxes or transaction calculation can differ.",2026-09-05 15:19:17 UTC,404,2026-09-05T15:19:55.700109+00:00,https://porkbun.com/checkout/search?q=toneme.ai,404,404,An unrelated ToneMe GitHub repository surfaced; the exact PyPI and npm lookups returned 404.,https://www.merriam-webster.com/dictionary/toneme | https://github.com/leihuayi/ToneMe/releases
7,Tepal,tepal.ai,TEE-puhl,"A petal-like flower part; five letters and a compact, organic identity.",AVAILABLE,0,82.70,82.70,2,165.40,"Two-year estimate is twice the displayed annual rate, not a completed checkout quote; taxes or transaction calculation can differ.",2026-09-05 15:19:17 UTC,404,2026-09-05T15:19:55.842199+00:00,https://porkbun.com/checkout/search?q=tepal.ai,404,404,No obvious exact-name AI/software product found. The botanical word also permits TEP-uhl.,https://www.dictionary.com/browse/tepal
8,Smidgen,smidgen.ai,SMID-jin,A tiny amount; a friendly metaphor for fine-grained steering adjustments.,AVAILABLE,0,82.70,82.70,2,165.40,"Two-year estimate is twice the displayed annual rate, not a completed checkout quote; taxes or transaction calculation can differ.",2026-09-05 15:19:17 UTC,404,2026-09-05T15:19:55.928373+00:00,https://porkbun.com/checkout/search?q=smidgen.ai,404,200,"Existing npm IOTA CLI, Go text-editor component, and inventory-management project. Not an unused software name.",https://github.com/bitfinexcom/smidgen | https://pkg.go.dev/github.com/sedwards2009/smidgen | https://github.com/Smidgen-Inventory-Management
9,Unshown,unshown.ai,un-SHOHN,The parts normally hidden; direct and relevant to model inspection.,AVAILABLE,0,82.70,82.70,2,165.40,"Two-year estimate is twice the displayed annual rate, not a completed checkout quote; taxes or transaction calculation can differ.",2026-09-05 15:19:17 UTC,404,2026-09-05T15:19:56.024054+00:00,https://porkbun.com/checkout/search?q=unshown.ai,404,404,An unrelated UnShown game exists; no obvious exact-name AI workbench found.,https://www.collinsdictionary.com/dictionary/english/unshown | https://pix3ldev.itch.io/un-shown
10,Doline,doline.ai,DOH-leen,A natural basin; an evocative name for exploring a model's internal landscape.,AVAILABLE,0,82.70,82.70,2,165.40,"Two-year estimate is twice the displayed annual rate, not a completed checkout quote; taxes or transaction calculation can differ.",2026-09-05 15:19:17 UTC,404,2026-09-05T15:19:56.113911+00:00,https://porkbun.com/checkout/search?q=doline.ai,404,404,"A less familiar geological word, with a sinkhole association. No obvious exact-name AI/software product found.",https://www.collinsdictionary.com/dictionary/english/doline
11,Scumble,scumble.ai,SKUM-buhl,A painting technique that softens color through layers; fits subtle trait modulation.,AVAILABLE,0,82.70,82.70,2,165.40,"Two-year estimate is twice the displayed annual rate, not a completed checkout quote; taxes or transaction calculation can differ.",2026-09-05 15:19:17 UTC,404,2026-09-05T15:19:56.196470+00:00,https://porkbun.com/checkout/search?q=scumble.ai,404,404,"Also a novel title, a Discworld drink, and an established multilabel-learning metric acronym. Distinctive, but the opening sound may be polarizing.",https://arxiv.org/abs/1802.05033 | https://en.wikipedia.org/wiki/Scumble
12,Brayer,brayer.ai,BRAY-er,A printmaker's ink roller; a tactile tool for applying controlled changes.,AVAILABLE,0,82.70,82.70,2,165.40,"Two-year estimate is twice the displayed annual rate, not a completed checkout quote; taxes or transaction calculation can differ.",2026-09-05 15:19:17 UTC,404,2026-09-05T15:19:56.308401+00:00,https://porkbun.com/checkout/search?q=brayer.ai,200,404,The exact PyPI name is already a Pydantic desktop-form library. Brayer is also used by an appliance brand and as a surname.,https://pypi.org/project/brayer/ | https://brayer.ru/
13,Coving,coving.ai,KOH-ving,A curved transition between surfaces; a quiet geometric metaphor.,AVAILABLE,0,82.70,82.70,2,165.40,"Two-year estimate is twice the displayed annual rate, not a completed checkout quote; taxes or transaction calculation can differ.",2026-09-05 15:19:17 UTC,404,2026-09-05T15:19:56.389044+00:00,https://porkbun.com/checkout/search?q=coving.ai,404,404,A common architectural and graphics term; no obvious exact-name AI product found.,https://www.sidefx.com/media/uploads/tutorial/H12_%20lessons/Light%20Shade%20Rendering/lsr_m07.pdf
14,Harebell,harebell.ai,HAIR-bell,A delicate blue wildflower; an approachable visual identity with a clear image.,AVAILABLE,0,82.70,82.70,2,165.40,"Two-year estimate is twice the displayed annual rate, not a completed checkout quote; taxes or transaction calculation can differ.",2026-09-05 15:19:17 UTC,404,2026-09-05T15:19:56.526489+00:00,https://porkbun.com/checkout/search?q=harebell.ai,404,404,"No obvious exact-name AI/software product found. Eight letters, but only two familiar syllables.",https://www.oxfordlearnersdictionaries.com/definition/english/harebell
