rank,name,domain,url,theme,rationale,backronym_sketch,status,first_year_usd,renewal_usd,premium,checked_at
1,psyche,psyche.tools,https://psyche.tools,cognitive science,Directly signals mind and psychology; warm rather than clinical.,Probing Subspaces to Yield Cognitive Hidden-state Explanations,available standard live registrar,9.78,29.35,no,2026-08-27
2,affect,affect.tools,https://affect.tools,feeling/psychology,Canonical emotion term and a verb meaning to change: a strong double meaning.,Activation Feature Fitting for Explainable Concept Tuning,available standard live registrar,9.78,29.35,no,2026-08-27
3,slant,slant.tools,https://slant.tools,steering/control,"A directional bias or interpretive angle; short, tactile, and steerable.",Subspace Lenses for Activation Navigation and Tuning,available standard live registrar,9.78,29.35,no,2026-08-27
4,drowsy,drowsy.tools,https://drowsy.tools,sleep/dream,"The closest new sibling to Drowse: liminal, stateful, and memorable.","Directional Readout and Observation for Workspace Steering, Yield-aware",available standard live registrar,9.78,29.35,no,2026-08-27
5,pensive,pensive.tools,https://pensive.tools,sleep/dream,"Thoughtful, introspective, and emotionally colored.",Probing Embeddings and Neural Subspaces for Interpretable Vector Editing,available standard live registrar,9.78,29.35,no,2026-08-27
6,appraisal,appraisal.tools,https://appraisal.tools,cognitive science,A core emotion-theory term for how a system evaluates a situation.,"Activation Probing and Projection for Representation Analysis, Interpretation, Steering, Alignment, and Layers",available standard live registrar,9.78,29.35,no,2026-08-27
7,affordance,affordance.tools,https://affordance.tools,cognitive science,A canonical cognitive-science term for possible actions and control.,"Activation Feature Fitting for Output Representation, Direction, Analysis, Navigation, Control, and Editing",available standard live registrar,9.78,29.35,no,2026-08-27
8,arousal,arousal.tools,https://arousal.tools,feeling/psychology,A core affect dimension and a measurable activation state.,"Activation Readout for Output Understanding, Steering, and Layers",available standard live registrar,9.78,29.35,no,2026-08-27
9,inward,inward.tools,https://inward.tools,steering/control,Suggests opening a model and looking within.,Interpreting Neural Workspaces for Activation Readout and Direction,available standard live registrar,9.78,29.35,no,2026-08-27
10,heed,heed.tools,https://heed.tools,steering/control,Attention and behavioral steering compressed into one compact verb.,Hidden-state Evaluation for Editing and Direction,available standard live registrar,9.78,29.35,no,2026-08-27
11,sentiment,sentiment.tools,https://sentiment.tools,feeling/psychology,"Immediately legible as affect, evaluation, and model measurement.",Subspace Editing of Neural Traits through Interpretable Manifold Evaluation and Neural Tracking,available standard live registrar,9.78,29.35,no,2026-08-27
12,dreamy,dreamy.tools,https://dreamy.tools,sleep/dream,"Soft, stateful, and close to the tone that made Drowse work.","Directional Representation Editing and Manifold Analysis, Yield-aware",available standard live registrar,9.78,29.35,no,2026-08-27
13,attitude,attitude.tools,https://attitude.tools,feeling/psychology,Both a mental stance and an orientation in space.,"Activation Traits Traced through Interpretable Tuning, Understanding, Direction, and Editing",available standard live registrar,9.78,29.35,no,2026-08-27
14,binding,binding.tools,https://binding.tools,cognitive science,A cognitive-science problem and a literal operation on representations.,Basis Interpretation for Neural Direction Injection and Navigation Geometry,available standard live registrar,9.78,29.35,no,2026-08-27
15,anchoring,anchoring.tools,https://anchoring.tools,cognitive science,A cognitive bias and a geometric control metaphor.,Activation Navigation and Concept Hidden-state Observation for Representation Injection and Neural Guidance,available standard live registrar,9.78,29.35,no,2026-08-27
16,polarity,polarity.tools,https://polarity.tools,steering/control,"Fits bipolar concepts, activation axes, and emotional valence.","Probing Output Layers for Activation Representation Interpretation, Tuning, and Yield",available standard live registrar,9.78,29.35,no,2026-08-27
17,mellow,mellow.tools,https://mellow.tools,sleep/dream,Friendly affective tone with an implicit modulation metaphor.,Manifold Editing with Layerwise Lenses for Output Watching,available standard live registrar,9.78,29.35,no,2026-08-27
18,slumber,slumber.tools,https://slumber.tools,sleep/dream,"Drowse-adjacent, substantial, and easy to remember.","Subspace Lenses for Understanding Model Behavior, Editing, and Readout",available standard live registrar,9.78,29.35,no,2026-08-27
19,emergence,emergence.tools,https://emergence.tools,cognitive science,Names the phenomenon interpretability tries to make legible.,"Editing Model Embeddings for Representation Geometry, Evaluation, Neural Control, and Explainability",available standard live registrar,9.78,29.35,no,2026-08-27
20,enaction,enaction.tools,https://enaction.tools,cognitive science,A real cognitive-science term connecting cognition and action.,"Editing Neural Activations for Concept Tuning, Interpretation, Output Navigation",available standard live registrar,9.78,29.35,no,2026-08-27
21,feeling,feeling.tools,https://feeling.tools,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Features Editing Embeddings Layerwise Interpretation Neural Geometry,available standard live registrar,9.78,29.35,no,2026-08-27
22,spirit,spirit.tools,https://spirit.tools,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Steering Probing Interpretation Readout Injection Traits,available standard live registrar,9.78,29.35,no,2026-08-27
23,meaning,meaning.tools,https://meaning.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Manifolds Editing Activation Neural Interpretation Navigation Geometry,available standard live registrar,9.78,29.35,no,2026-08-27
24,conscience,conscience.tools,https://conscience.tools,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Concepts Observation Neural Steering Cognition Interpretation Editing Navigation Control Embeddings,available standard live registrar,9.78,29.35,no,2026-08-27
25,silence,silence.tools,https://silence.tools,sleep/dream,Drowse-adjacent language for liminal cognition and model state.,Steering Interpretation Layerwise Editing Neural Concepts Embeddings,available standard live registrar,9.78,29.35,no,2026-08-27
26,awaken,awaken.tools,https://awaken.tools,sleep/dream,Drowse-adjacent language for liminal cognition and model state.,Activation Workspace Analysis Kernels Editing Neural,available standard live registrar,9.78,29.35,no,2026-08-27
