rank,name,domain,letters,pronunciation,language,meaning,project_fit,editorial_note,meaning_source,registrar,registrar_status,premium,registration_usd_per_year,minimum_initial_years,calculated_initial_usd_before_tax,renewal_usd_per_year,minimum_renewal_years,checked_at_utc,purchase_link,rdap_http_status,pypi_http_status,npm_http_status,existing_use_note,existing_use_source
1,Nitore,nitore.ai,6,nee-TOH-reh,Italian,"Clarity, brilliance, polish.","A precise, elegant name for making model internals intelligible.","Best overall balance of sound, brevity, and purpose.",https://www.treccani.it/vocabolario/nitore/,Porkbun,AVAILABLE,0,82.70,2,165.40,82.70,2,2026-09-05T22:21:02.871842+00:00,https://porkbun.com/checkout/search?q=nitore.ai,404,404,404,No obvious exact-name AI/software product surfaced in the bounded web screen. Surname and account-name uses exist.,
2,Sisin,sisin.ai,5,SEE-sin,Finnish,Innermost.,"The shortest, most direct expression of looking inside a model.","Five letters, two syllables, and an unusually exact thematic fit.",https://en.wiktionary.org/wiki/sisin,Porkbun,AVAILABLE,0,82.70,2,165.40,82.70,2,2026-09-05T22:21:02.871842+00:00,https://porkbun.com/checkout/search?q=sisin.ai,404,404,404,SISIN also appears as an acronym for a Bolivian public-investment information system; no exact-name AI workbench surfaced.,https://www.contraloria.gob.bo/wp-content/uploads/2025/03/GATIC-AUD-2024-001.pdf
3,Asomar,asomar.ai,6,ah-soh-MAR,Spanish,To appear or come into view.,Hidden patterns becoming visible through probes and readouts.,Warm and spacious; especially suited to a visual exploration product.,https://www.larousse.com/en/dictionaries/spanish-english/asomar/3441,Porkbun,AVAILABLE,0,82.70,2,165.40,82.70,2,2026-09-05T22:21:02.871842+00:00,https://porkbun.com/checkout/search?q=asomar.ai,404,404,404,Existing communications consultancy and maritime-association uses. No exact-name AI workbench surfaced.,https://asomar.es/en/elementor-1425/
4,Unskein,unskein.ai,7,un-SKAYN,English,To unwind a skein; to unfurl.,Untangling distributed representations into understandable threads.,Strongest English metaphor; spelling is less familiar than its sound.,https://en.wiktionary.org/wiki/unskein,Porkbun,AVAILABLE,0,82.70,2,165.40,82.70,2,2026-09-05T22:21:02.871842+00:00,https://porkbun.com/checkout/search?q=unskein.ai,404,404,404,No obvious exact-name software product surfaced; literary uses exist.,
5,Merism,merism.ai,6,MAIR-iz-um,"English, from Greek","A whole expressed through contrasting parts, such as high and low.",An unusually close match to concept poles and the space between them.,Most conceptually specific; a little more academic than the first four.,https://en.wiktionary.org/wiki/merism,Porkbun,AVAILABLE,0,82.70,2,165.40,82.70,2,2026-09-05T22:21:02.871842+00:00,https://porkbun.com/checkout/search?q=merism.ai,404,404,404,A community-oriented landing page and company-directory entries use Merism. No exact-name AI workbench surfaced.,https://merism.org/
6,Svelare,svelare.ai,7,zveh-LAH-reh,Italian,To reveal or unveil.,A direct statement of the interpretability mission.,Elegant and active; the initial sv sound needs one introduction for English speakers.,https://dictionary.cambridge.org/dictionary/italian-english/svelare,Porkbun,AVAILABLE,0,82.70,2,165.40,82.70,2,2026-09-05T22:21:02.871842+00:00,https://porkbun.com/checkout/search?q=svelare.ai,404,404,404,No obvious exact-name AI/software product surfaced in the bounded web screen.,
7,Ricalco,ricalco.ai,7,ree-KAHL-koh,Italian,Tracing or a copy produced by tracing.,Following the outlines and paths of internal model behavior.,"Crisp, rhythmic, and more instrument-like in tone.",https://www.treccani.it/vocabolario/ricalco/,Porkbun,AVAILABLE,0,82.70,2,165.40,82.70,2,2026-09-05T22:21:02.871842+00:00,https://porkbun.com/checkout/search?q=ricalco.ai,404,404,404,Ricalco appears descriptively in drawing-software titles; no clear standalone exact-name AI brand surfaced.,https://apps.apple.com/it/app/ar-drawing-schizzo-ricalco/id6760111809
8,Deuten,deuten.ai,6,DOY-tuhn,German,To interpret or read signs.,Turning hidden measurements into something understandable.,Compact and serious; eu is pronounced oy in German.,https://dictionary.cambridge.org/dictionary/german-english/deuten,Porkbun,AVAILABLE,0,82.70,2,165.40,82.70,2,2026-09-05T22:21:02.871842+00:00,https://porkbun.com/checkout/search?q=deuten.ai,404,404,404,No obvious exact-name AI/software product surfaced in the bounded web screen.,
9,Falte,falte.ai,5,FAHL-tuh,German,"A fold, crease, or wrinkle.",A simple geometric image for folded representation spaces.,Five letters and two syllables; a strong geometric identity.,https://www.collinsdictionary.com/dictionary/german-english/falte,Porkbun,AVAILABLE,0,82.70,2,165.40,82.70,2,2026-09-05T22:21:02.871842+00:00,https://porkbun.com/checkout/search?q=falte.ai,404,404,404,Common word and surname uses; no exact-name AI/software brand surfaced in the bounded screen.,
10,Punoa,punoa.ai,5,POO-noh-ah,Finnish,To weave or plait.,Composing steering directions and following the model's intertwined features.,"Soft, distinctive, and only five letters.",https://livingdictionaries.app/finnish/entry/80b77ce8-860d-42b3-8d8c-6b1080623ea2,Porkbun,AVAILABLE,0,82.70,2,165.40,82.70,2,2026-09-05T22:21:02.871842+00:00,https://porkbun.com/checkout/search?q=punoa.ai,404,404,404,Also a place name and surname; no obvious exact-name AI/software product surfaced.,https://en.wikipedia.org/wiki/Punoa
